Worker ID,Name,Gender,Salary ($),Level
221,Employee_221,Female,31881,B2
222,Employee_222,Male,5969,B2
223,Employee_223,Male,14338,A1
224,Employee_224,Female,23494,A5-F
225,Employee_225,Female,18120,A1
226,Employee_226,Female,23960,A5-F
227,Employee_227,Male,28902,B2
228,Employee_228,Female,17138,A1
229,Employee_229,Male,20808,B2
230,Employee_230,Female,5968,B2
231,Employee_231,Female,14681,A1
232,Employee_232,Male,8432,B2
233,Employee_233,Male,9495,B2
234,Employee_234,Male,24629,B2
235,Employee_235,Female,8754,A5-F
236,Employee_236,Male,24985,B2
237,Employee_237,Female,27120,A5-F
238,Employee_238,Female,15262,A1
239,Employee_239,Female,21937,A5-F
240,Employee_240,Female,15690,A1
241,Employee_241,Male,26995,B2
242,Employee_242,Male,26479,B2
243,Employee_243,Male,16705,A1
244,Employee_244,Female,28674,A5-F
245,Employee_245,Male,16012,A1
246,Employee_246,Female,24194,A5-F
247,Employee_247,Male,17515,A1
248,Employee_248,Female,31482,B2
249,Employee_249,Female,26832,A5-F
250,Employee_250,Female,8384,A5-F
251,Employee_251,Female,15663,A1
252,Employee_252,Male,16020,A1
253,Employee_253,Female,25700,A5-F
254,Employee_254,Female,19263,A1
255,Employee_255,Male,31008,B2
256,Employee_256,Male,15785,A1
257,Employee_257,Male,14791,A1
258,Employee_258,Male,32778,B2
259,Employee_259,Male,18975,A1
260,Employee_260,Male,13541,A1
261,Employee_261,Male,23737,B2
262,Employee_262,Female,33618,B2
263,Employee_263,Male,7899,B2
264,Employee_264,Female,28794,A5-F
265,Employee_265,Male,17507,A1
266,Employee_266,Male,19438,A1
267,Employee_267,Male,23405,B2
268,Employee_268,Female,17820,A1
269,Employee_269,Female,11857,A1
270,Employee_270,Male,15504,A1
271,Employee_271,Male,16259,A1
272,Employee_272,Male,15089,A1
273,Employee_273,Male,5311,B2
274,Employee_274,Female,32116,B2
275,Employee_275,Male,14334,A1
276,Employee_276,Male,5282,B2
277,Employee_277,Male,5247,B2
278,Employee_278,Female,25741,A5-F
279,Employee_279,Female,34502,B2
280,Employee_280,Female,5822,B2
281,Employee_281,Female,23860,A5-F
282,Employee_282,Male,18044,A1
283,Employee_283,Female,24696,A5-F
284,Employee_284,Female,31472,B2
285,Employee_285,Female,31225,B2
286,Employee_286,Female,28239,A5-F
287,Employee_287,Female,16205,A1
288,Employee_288,Female,16591,A1
289,Employee_289,Female,13383,A1
290,Employee_290,Female,32612,B2
291,Employee_291,Male,18628,A1
292,Employee_292,Female,31055,B2
293,Employee_293,Female,16630,A1
294,Employee_294,Female,10378,A1
295,Employee_295,Male,27587,B2
296,Employee_296,Female,14091,A1
297,Employee_297,Female,20679,A5-F
298,Employee_298,Female,7822,A5-F
299,Employee_299,Male,31384,B2
300,Employee_300,Female,15066,A1
301,Employee_301,Male,34683,B2
302,Employee_302,Female,5165,B2
303,Employee_303,Female,25766,A5-F
304,Employee_304,Female,13685,A1
305,Employee_305,Female,31087,B2
306,Employee_306,Male,14002,A1
307,Employee_307,Female,32123,B2
308,Employee_308,Female,16278,A1
309,Employee_309,Female,5230,B2
310,Employee_310,Male,22302,B2
311,Employee_311,Female,33721,B2
312,Employee_312,Female,18899,A1
313,Employee_313,Male,17634,A1
314,Employee_314,Female,5020,B2
315,Employee_315,Female,31777,B2
316,Employee_316,Female,15930,A1
317,Employee_317,Male,27106,B2
318,Employee_318,Male,14727,A1
319,Employee_319,Male,21417,B2
320,Employee_320,Female,20723,A5-F
321,Employee_321,Male,18486,A1
322,Employee_322,Female,34665,B2
323,Employee_323,Male,14775,A1
324,Employee_324,Male,11783,A1
325,Employee_325,Female,15222,A1
326,Employee_326,Female,9180,A5-F
327,Employee_327,Female,31219,B2
328,Employee_328,Male,17321,A1
329,Employee_329,Female,18216,A1
330,Employee_330,Female,16687,A1
331,Employee_331,Male,31579,B2
332,Employee_332,Female,18607,A1
333,Employee_333,Male,16632,A1
334,Employee_334,Male,13168,A1
335,Employee_335,Male,34918,B2
336,Employee_336,Male,24732,B2
337,Employee_337,Female,22304,A5-F
338,Employee_338,Female,23155,A5-F
339,Employee_339,Male,31025,B2
340,Employee_340,Male,7066,B2
341,Employee_341,Male,26407,B2
342,Employee_342,Male,24915,B2
343,Employee_343,Male,8745,B2
344,Employee_344,Male,15143,A1
345,Employee_345,Male,14157,A1
346,Employee_346,Male,7266,B2
347,Employee_347,Female,9436,A5-F
348,Employee_348,Male,10572,A1
349,Employee_349,Female,25136,A5-F
350,Employee_350,Female,26923,A5-F
351,Employee_351,Male,29711,B2
352,Employee_352,Male,27177,B2
353,Employee_353,Female,30145,B2
354,Employee_354,Female,5116,B2
355,Employee_355,Female,17184,A1
356,Employee_356,Male,21576,B2
357,Employee_357,Female,18634,A1
358,Employee_358,Female,33314,B2
359,Employee_359,Female,13048,A1
360,Employee_360,Female,27264,A5-F
361,Employee_361,Male,33602,B2
362,Employee_362,Male,26552,B2
363,Employee_363,Female,6929,B2
364,Employee_364,Female,9785,A5-F
365,Employee_365,Female,15066,A1
366,Employee_366,Male,14405,A1
367,Employee_367,Male,8417,B2
368,Employee_368,Female,23597,A5-F
369,Employee_369,Female,21084,A5-F
370,Employee_370,Female,24948,A5-F
371,Employee_371,Female,15992,A1
372,Employee_372,Male,23192,B2
373,Employee_373,Female,20506,A5-F
374,Employee_374,Male,29515,B2
375,Employee_375,Female,15905,A1
376,Employee_376,Male,28743,B2
377,Employee_377,Male,6832,B2
378,Employee_378,Male,32888,B2
379,Employee_379,Female,29955,A5-F
380,Employee_380,Male,17825,A1
381,Employee_381,Female,13937,A1
382,Employee_382,Male,23874,B2
383,Employee_383,Female,5001,B2
384,Employee_384,Female,24519,A5-F
385,Employee_385,Female,32487,B2
386,Employee_386,Female,26969,A5-F
387,Employee_387,Male,5521,B2
388,Employee_388,Female,8685,A5-F
389,Employee_389,Male,7311,B2
390,Employee_390,Male,13602,A1
391,Employee_391,Female,25571,A5-F
392,Employee_392,Female,25433,A5-F
393,Employee_393,Female,6648,B2
394,Employee_394,Female,8936,A5-F
395,Employee_395,Female,28203,A5-F
396,Employee_396,Female,22169,A5-F
397,Employee_397,Female,26246,A5-F
398,Employee_398,Male,20477,B2
399,Employee_399,Male,21186,B2
400,Employee_400,Female,16357,A1
